code,date,open,close,high,low,volume,money
000300.XSHG,2017-07-10,3647.94,3653.69,3667.85,3641.53,12059191000.0,141034626508.0
000300.XSHG,2017-07-11,3646.88,3670.81,3701.21,3645.99,11876082600.0,145084363277.0
000300.XSHG,2017-07-12,3672.63,3658.82,3691.58,3640.59,12228779200.0,143494599072.0
000300.XSHG,2017-07-13,3656.35,3686.92,3690.48,3652.57,12566954900.0,146388679598.0
000300.XSHG,2017-07-14,3682.62,3703.09,3703.09,3672.74,10551400500.0,121021448889.0
000300.XSHG,2017-07-17,3700.62,3663.56,3716.47,3621.37,17882160000.0,196217253798.0
000300.XSHG,2017-07-18,3648.49,3667.18,3667.54,3622.04,12462205600.0,141472283974.0
000300.XSHG,2017-07-19,3660.87,3729.75,3731.05,3658.2,18247778700.0,198392451748.0
000300.XSHG,2017-07-20,3725.14,3747.88,3750.19,3723.07,14241003900.0,169267149940.0
000300.XSHG,2017-07-21,3738.18,3728.6,3751.69,3722.07,11794122600.0,141432632987.0
000300.XSHG,2017-07-24,3724.38,3743.47,3755.19,3719.85,13486872200.0,154701874682.0
000300.XSHG,2017-07-25,3742.64,3719.56,3752.16,3713.28,12167205900.0,133531656186.0
000300.XSHG,2017-07-26,3722.88,3705.39,3738.53,3684.18,13632521000.0,146518004915.0
000300.XSHG,2017-07-27,3700.86,3712.19,3716.69,3672.5,14500290400.0,161631225346.0
000300.XSHG,2017-07-28,3703.49,3721.89,3725.54,3696.78,11141139200.0,125817861948.0
000300.XSHG,2017-07-31,3722.43,3737.87,3746.52,3713.66,14842903900.0,160890133166.0
000300.XSHG,2017-08-01,3738.74,3770.38,3770.4,3737.1,15254653900.0,173127578959.0
000300.XSHG,2017-08-02,3768.19,3760.85,3784.35,3759.28,17229338300.0,189336782813.0
000300.XSHG,2017-08-03,3755.11,3727.83,3766.35,3718.44,14615394400.0,164710461600.0
000300.XSHG,2017-08-04,3724.72,3707.58,3738.73,3707.0,15747006000.0,168292664589.0
000300.XSHG,2017-08-07,3701.22,3726.79,3730.78,3689.96,12423153000.0,134348537498.0
000300.XSHG,2017-08-08,3724.33,3732.21,3737.33,3718.81,13724192800.0,146481868919.0
000300.XSHG,2017-08-09,3728.03,3731.04,3739.0,3713.57,12467998900.0,137223598286.0
000300.XSHG,2017-08-10,3724.96,3715.92,3746.86,3688.18,13008512800.0,148005169417.0
000300.XSHG,2017-08-11,3687.93,3647.35,3700.49,3645.09,15038742100.0,161083470412.0
000300.XSHG,2017-08-14,3651.38,3694.68,3698.37,3651.38,11530845100.0,140233894117.0
000300.XSHG,2017-08-15,3695.78,3706.06,3719.29,3692.28,10644485700.0,124790630952.0
000300.XSHG,2017-08-16,3701.13,3701.42,3707.14,3679.73,10413414100.0,127282165884.0
000300.XSHG,2017-08-17,3707.07,3721.28,3722.62,3704.41,10865625100.0,137020002920.0
000300.XSHG,2017-08-18,3707.19,3724.67,3733.49,3700.41,9656170500.0,123078163944.0
000300.XSHG,2017-08-21,3731.84,3740.99,3744.26,3728.62,10031307300.0,123911716276.0
000300.XSHG,2017-08-22,3745.75,3752.3,3758.29,3734.56,10029285600.0,131131078398.0
000300.XSHG,2017-08-23,3747.61,3756.09,3772.46,3741.72,10496157300.0,124081155710.0
000300.XSHG,2017-08-24,3755.89,3734.65,3765.71,3729.09,8994737200.0,107736019091.0
000300.XSHG,2017-08-25,3736.29,3795.75,3795.97,3736.29,12994090000.0,150697083062.0
000300.XSHG,2017-08-28,3805.66,3842.71,3866.94,3805.66,18557632500.0,236446280855.0
000300.XSHG,2017-08-29,3839.18,3834.54,3847.93,3825.76,12822707000.0,158978683685.0
000300.XSHG,2017-08-30,3834.27,3834.3,3854.71,3827.86,14135285700.0,166235122004.0
000300.XSHG,2017-08-31,3835.84,3822.09,3840.2,3800.89,13294493500.0,157079216083.0
000300.XSHG,2017-09-01,3825.34,3830.54,3843.62,3818.16,15864551100.0,182770431967.0
000300.XSHG,2017-09-04,3828.54,3845.62,3847.09,3813.55,14956632000.0,175551068278.0
000300.XSHG,2017-09-05,3845.55,3857.05,3865.29,3841.95,12496415500.0,145779755314.0
000300.XSHG,2017-09-06,3846.75,3849.45,3858.25,3831.38,13139872300.0,155883314756.0
000300.XSHG,2017-09-07,3851.69,3829.87,3858.16,3828.84,12388418100.0,156113397125.0
000300.XSHG,2017-09-08,3830.07,3825.99,3843.02,3813.98,10603650400.0,134958583983.0
000300.XSHG,2017-09-11,3828.34,3825.65,3850.74,3817.51,12388399700.0,154793900773.1
000300.XSHG,2017-09-12,3832.24,3837.93,3849.39,3822.0,14419024200.0,187605312030.0
000300.XSHG,2017-09-13,3835.55,3842.61,3847.78,3822.94,9541078500.0,126254360933.0
000300.XSHG,2017-09-14,3843.57,3829.96,3854.49,3820.09,11535858300.0,143111639152.0
000300.XSHG,2017-09-15,3826.14,3831.3,3843.3,3818.52,12242700600.0,153477215180.0
000300.XSHG,2017-09-18,3832.96,3843.14,3862.36,3832.96,11793440500.0,152841028494.0
000300.XSHG,2017-09-19,3849.88,3832.12,3857.3,3820.29,11243298700.0,145528457523.0
000300.XSHG,2017-09-20,3830.15,3842.44,3850.94,3827.89,10112954200.0,135041882371.0
000300.XSHG,2017-09-21,3843.26,3837.82,3860.8,3837.38,11109819200.0,144132893229.0
000300.XSHG,2017-09-22,3826.46,3837.73,3842.25,3816.82,10061980200.0,128360894859.0
000300.XSHG,2017-09-25,3829.22,3817.79,3835.39,3811.12,10394897600.0,135980239129.0
000300.XSHG,2017-09-26,3810.33,3820.78,3821.69,3808.38,8186940700.0,101036334815.0
000300.XSHG,2017-09-27,3818.96,3821.2,3832.57,3818.81,8565581100.0,109299492247.0
000300.XSHG,2017-09-28,3821.59,3822.54,3827.33,3813.75,9354406900.0,115646338522.0
000300.XSHG,2017-09-29,3825.2,3836.5,3852.22,3825.2,9330602800.0,116056776566.0
000300.XSHG,2017-10-09,3910.11,3882.21,3918.84,3876.03,13553585100.0,171941460832.0
000300.XSHG,2017-10-10,3883.0,3889.86,3900.74,3855.47,11253258600.0,157979737603.0
000300.XSHG,2017-10-11,3886.82,3902.69,3913.07,3885.5,10441815100.0,144152740056.0
000300.XSHG,2017-10-12,3902.02,3912.95,3917.44,3897.55,9434092100.0,123147248618.0
000300.XSHG,2017-10-13,3912.97,3921.0,3927.17,3908.89,9014206800.0,114314854703.0
000300.XSHG,2017-10-16,3926.28,3913.45,3947.42,3913.32,12135503300.0,150823756592.0
000300.XSHG,2017-10-17,3910.79,3913.07,3924.61,3900.48,8224122700.0,106708451684.0
000300.XSHG,2017-10-18,3914.82,3944.16,3944.41,3914.82,10096984100.0,126420379660.0
000300.XSHG,2017-10-19,3940.58,3931.25,3944.03,3923.65,10652725200.0,133189855169.0
000300.XSHG,2017-10-20,3918.53,3926.85,3928.96,3910.2,7298018000.0,94529636639.0
000300.XSHG,2017-10-23,3930.89,3930.8,3936.27,3920.66,8148498000.0,100280911371.0
000300.XSHG,2017-10-24,3926.23,3959.4,3959.5,3922.03,9305815400.0,120192150584.0
000300.XSHG,2017-10-25,3958.17,3976.95,3978.09,3954.0,8820545800.0,106820309535.0
000300.XSHG,2017-10-26,3980.05,3993.58,4013.6,3973.55,12989546500.0,170488618587.0
000300.XSHG,2017-10-27,3992.55,4021.97,4024.46,3991.35,12667284600.0,152974831071.0
000300.XSHG,2017-10-30,4022.16,4009.72,4033.34,3960.27,15738760300.0,193489838439.0
000300.XSHG,2017-10-31,3995.39,4006.72,4009.28,3983.26,10917877900.0,142897206949.0
000300.XSHG,2017-11-01,4007.91,3996.62,4032.46,3991.32,13041738000.0,166477138571.0
000300.XSHG,2017-11-02,3994.09,3997.13,3999.23,3971.38,12610057900.0,151981363640.0
000300.XSHG,2017-11-03,3992.35,3992.7,3999.34,3963.03,12940443900.0,158142056585.0
000300.XSHG,2017-11-06,3989.18,4020.89,4021.64,3975.41,12208115900.0,158911861111.0
000300.XSHG,2017-11-07,4022.4,4054.25,4064.22,4021.36,15211666300.0,193990974032.0
000300.XSHG,2017-11-08,4051.49,4048.01,4089.15,4040.58,15082771900.0,200949740671.0
000300.XSHG,2017-11-09,4043.07,4075.9,4076.61,4038.4,12105633500.0,159247198176.0
000300.XSHG,2017-11-10,4070.28,4111.91,4116.71,4067.66,14181716500.0,198869833811.0
000300.XSHG,2017-11-13,4115.55,4128.07,4137.65,4115.55,15144630900.0,205930794541.0
000300.XSHG,2017-11-14,4129.27,4099.35,4133.55,4086.89,14323693600.0,199605009025.0
000300.XSHG,2017-11-15,4084.21,4073.67,4102.81,4055.72,12063569600.0,177753075436.0
000300.XSHG,2017-11-16,4063.49,4105.01,4107.62,4062.27,12138441400.0,172903880580.0
000300.XSHG,2017-11-17,4094.08,4120.85,4122.38,4081.37,19178411900.0,253079314045.0
000300.XSHG,2017-11-20,4093.73,4143.83,4144.51,4060.96,13744725800.0,191589637482.0
000300.XSHG,2017-11-21,4131.85,4217.7,4220.26,4129.98,18035082100.0,253302199628.0
000300.XSHG,2017-11-22,4228.37,4227.57,4260.64,4191.15,18647700300.0,254298361690.0
000300.XSHG,2017-11-23,4213.38,4102.4,4214.19,4086.9,17814722800.0,237536704704.0
000300.XSHG,2017-11-24,4089.47,4104.2,4116.59,4057.49,13085804000.0,182912191367.0
000300.XSHG,2017-11-27,4088.93,4049.95,4088.93,4037.15,14345526800.0,183004551223.0
000300.XSHG,2017-11-28,4034.21,4055.82,4056.48,4010.3,10205809500.0,135539647289.0
000300.XSHG,2017-11-29,4061.35,4053.75,4069.24,4004.69,12455364200.0,165743341284.0
000300.XSHG,2017-11-30,4034.01,4006.1,4052.8,3988.0,10798334500.0,145829948321.0
000300.XSHG,2017-12-01,4003.56,3998.14,4027.11,3984.38,9738691300.0,136010927567.0
000300.XSHG,2017-12-04,3989.05,4018.86,4032.99,3982.32,10264721900.0,138223055525.0
000300.XSHG,2017-12-05,4007.94,4040.17,4045.93,4006.54,15408707600.0,196337660259.0
000300.XSHG,2017-12-06,4027.12,4015.82,4031.75,3964.81,10928620500.0,144114954180.0
000300.XSHG,2017-12-07,4003.58,3971.06,4017.95,3955.99,9025404500.0,119651201504.0
000300.XSHG,2017-12-08,3962.83,4003.38,4014.14,3955.44,8928286100.0,124371230332.0
000300.XSHG,2017-12-11,4006.88,4069.5,4069.5,4005.27,9714894600.0,148476588469.0
000300.XSHG,2017-12-12,4068.51,4016.02,4070.15,4015.45,8433871800.0,123515183182.0
000300.XSHG,2017-12-13,4013.83,4050.09,4052.69,4004.74,7754613100.0,115006383360.0
000300.XSHG,2017-12-14,4050.9,4026.15,4057.62,4013.85,8076886200.0,115086944924.0
000300.XSHG,2017-12-15,4018.73,3980.86,4020.27,3974.93,8904438900.0,118474144231.0
000300.XSHG,2017-12-18,3983.3,3985.29,4008.07,3967.93,7785337500.0,111724349856.0
000300.XSHG,2017-12-19,3985.82,4035.33,4035.63,3985.82,7752898500.0,115998204342.0
000300.XSHG,2017-12-20,4036.02,4030.49,4044.85,4015.63,9060450300.0,126812878124.0
000300.XSHG,2017-12-21,4023.08,4067.85,4080.78,4014.65,9683608900.0,137819520871.0
000300.XSHG,2017-12-22,4064.91,4054.6,4076.8,4048.49,7347368400.0,104426496022.0
000300.XSHG,2017-12-25,4057.42,4041.54,4086.93,4026.45,9192696200.0,129938839152.0
000300.XSHG,2017-12-26,4040.62,4053.62,4056.86,4015.3,9111879000.0,119725100617.0
000300.XSHG,2017-12-27,4045.28,3991.21,4047.74,3986.74,10515357700.0,140516907102.0
000300.XSHG,2017-12-28,3993.0,4018.9,4036.7,3980.24,11854288600.0,153636695762.0
000300.XSHG,2017-12-29,4022.88,4030.85,4043.14,4012.87,9048668300.0,121257038529.0
000300.XSHG,2018-01-02,4045.21,4087.4,4087.78,4045.21,14693543500.0,178402032875.0
000300.XSHG,2018-01-03,4091.46,4111.39,4140.05,4088.73,15185221800.0,205726889556.0
000300.XSHG,2018-01-04,4114.12,4128.81,4137.64,4105.89,13454379400.0,174523556133.0
000300.XSHG,2018-01-05,4133.34,4138.75,4151.28,4123.28,14900987200.0,185206293226.0
000300.XSHG,2018-01-08,4140.85,4160.16,4166.32,4127.31,17387766600.0,226403872932.0
000300.XSHG,2018-01-09,4157.54,4189.3,4191.28,4153.5,13903429400.0,181975079758.0
000300.XSHG,2018-01-10,4187.2,4207.81,4211.05,4175.14,15112166600.0,194850253886.0
000300.XSHG,2018-01-11,4197.11,4205.59,4211.8,4181.96,12157853900.0,170407305946.0
000300.XSHG,2018-01-12,4205.14,4225.0,4227.39,4199.03,11135479400.0,157606210635.0
000300.XSHG,2018-01-15,4229.84,4225.24,4262.93,4216.36,17090789700.0,234986586088.0
000300.XSHG,2018-01-16,4215.62,4258.47,4260.21,4213.13,16149496300.0,228271224756.0
000300.XSHG,2018-01-17,4261.78,4248.12,4283.34,4230.54,21431103200.0,284554359815.0
000300.XSHG,2018-01-18,4259.38,4271.42,4292.64,4246.68,17203284600.0,225289688909.0
000300.XSHG,2018-01-19,4281.94,4285.4,4316.57,4269.62,20949057000.0,258554725360.0
000300.XSHG,2018-01-22,4276.48,4336.6,4338.48,4275.9,17464319500.0,233960223311.0
000300.XSHG,2018-01-23,4346.89,4382.61,4383.57,4346.79,20186758500.0,257113359897.0
000300.XSHG,2018-01-24,4389.45,4389.89,4397.82,4349.09,21981888900.0,284470809530.0
000300.XSHG,2018-01-25,4381.98,4365.08,4392.2,4336.24,19537495000.0,250308091870.0
000300.XSHG,2018-01-26,4352.22,4381.3,4403.34,4351.49,17722723700.0,223331309122.0
000300.XSHG,2018-01-29,4387.06,4302.02,4395.91,4287.11,19110035400.0,256176323789.0
000300.XSHG,2018-01-30,4286.68,4256.1,4308.51,4251.57,13903473000.0,186650566155.0
000300.XSHG,2018-01-31,4234.11,4275.9,4287.86,4232.77,14521016400.0,194401798025.0
000300.XSHG,2018-02-01,4276.34,4245.9,4287.39,4214.29,19000293400.0,239230298933.0
000300.XSHG,2018-02-02,4213.94,4271.23,4271.76,4181.78,14606682700.0,191169867288.0
000300.XSHG,2018-02-05,4204.46,4274.15,4274.15,4200.14,16134779900.0,217360144504.0
000300.XSHG,2018-02-06,4182.33,4148.89,4211.52,4131.56,21491045000.0,279415083155.0
000300.XSHG,2018-02-07,4205.74,4050.5,4212.57,4048.42,20312749300.0,261507027391.0
000300.XSHG,2018-02-08,4022.88,4012.05,4071.67,3974.68,15926998500.0,199061771955.0
000300.XSHG,2018-02-09,3896.17,3840.65,3911.29,3759.15,20634982800.0,246774828431.0
000300.XSHG,2018-02-12,3846.27,3890.1,3907.84,3828.07,11618263700.0,149858043556.0
000300.XSHG,2018-02-13,3925.6,3935.63,3986.98,3925.6,11256588500.0,144479354377.0
000300.XSHG,2018-02-14,3945.09,3966.96,3971.4,3923.13,7108133800.0,93110201390.0
000300.XSHG,2018-02-22,4020.97,4052.73,4058.79,4009.92,10581157100.0,138334361735.0
000300.XSHG,2018-02-23,4061.75,4071.09,4085.2,4035.23,9945874600.0,128195835194.0
000300.XSHG,2018-02-26,4093.4,4118.42,4128.74,4048.98,13788100100.0,179013093605.0
000300.XSHG,2018-02-27,4120.87,4058.98,4120.87,4051.81,12593447000.0,169684900954.0
000300.XSHG,2018-02-28,4016.79,4023.64,4051.71,3991.71,10934359300.0,152493909262.0
000300.XSHG,2018-03-01,3994.87,4049.09,4061.03,3986.89,11019985200.0,146003456663.0
000300.XSHG,2018-03-02,4014.95,4016.46,4044.42,4006.94,9616500000.0,130931181201.0
000300.XSHG,2018-03-05,4021.66,4018.1,4042.83,3995.87,8795254800.0,118197859452.0
000300.XSHG,2018-03-06,4034.99,4066.56,4067.55,3998.93,13876244400.0,171370654136.0
000300.XSHG,2018-03-07,4063.5,4036.65,4089.7,4027.94,10695242600.0,136572305560.0
000300.XSHG,2018-03-08,4038.95,4077.6,4078.23,4029.71,9115581000.0,123634637120.0
000300.XSHG,2018-03-09,4088.07,4108.87,4110.67,4076.45,11370180800.0,150024119651.0
000300.XSHG,2018-03-12,4130.71,4127.67,4139.53,4112.77,14090673900.0,190367593786.0
000300.XSHG,2018-03-13,4124.33,4091.25,4130.28,4087.56,11176643000.0,141174160638.0
000300.XSHG,2018-03-14,4076.06,4073.34,4089.09,4066.49,9901340900.0,131537959370.0
000300.XSHG,2018-03-15,4058.71,4096.16,4098.99,4058.71,8816115600.0,126882452702.0
000300.XSHG,2018-03-16,4096.89,4056.42,4110.05,4055.82,8489618800.0,122125342027.0
000300.XSHG,2018-03-19,4054.62,4074.25,4074.52,4033.52,8150288200.0,118183815140.0
000300.XSHG,2018-03-20,4045.74,4077.7,4080.19,4040.31,8060528000.0,111980234031.0
000300.XSHG,2018-03-21,4097.02,4061.05,4110.12,4046.24,9760948800.0,139330411871.0
000300.XSHG,2018-03-22,4062.07,4020.35,4072.38,4003.72,8909525900.0,127664337990.0
000300.XSHG,2018-03-23,3896.74,3904.94,3928.51,3834.94,18008044900.0,218905031317.0
000300.XSHG,2018-03-26,3862.69,3879.89,3883.9,3829.92,11513912800.0,156604527227.0
000300.XSHG,2018-03-27,3927.49,3913.27,3936.78,3881.87,11370071100.0,162291546573.0
000300.XSHG,2018-03-28,3865.05,3842.72,3907.28,3835.88,10149490800.0,155848951057.0
000300.XSHG,2018-03-29,3854.59,3894.05,3913.96,3794.26,11662906600.0,164996782981.0
000300.XSHG,2018-03-30,3893.75,3898.5,3915.35,3879.21,9751227000.0,137959280455.0
000300.XSHG,2018-04-02,3897.01,3886.92,3937.02,3882.89,11124266600.0,159356080038.0
000300.XSHG,2018-04-03,3850.15,3862.48,3878.15,3839.93,9513736900.0,132049936105.0
000300.XSHG,2018-04-04,3873.63,3854.86,3898.61,3852.5,8873060900.0,131593067938.0
000300.XSHG,2018-04-09,3851.95,3852.93,3870.67,3827.41,8410546200.0,118167273509.0
000300.XSHG,2018-04-10,3860.72,3927.17,3927.42,3851.8,10617372200.0,137941300225.0
000300.XSHG,2018-04-11,3934.17,3938.34,3958.71,3924.96,11193302100.0,139989290630.0
000300.XSHG,2018-04-12,3935.67,3898.64,3937.78,3896.18,8269949000.0,108075565476.0
000300.XSHG,2018-04-13,3920.74,3871.14,3929.95,3866.19,7154420300.0,98921826969.0
000300.XSHG,2018-04-16,3862.47,3808.86,3869.16,3789.61,9921777000.0,131566866868.0
000300.XSHG,2018-04-17,3812.87,3748.64,3822.63,3745.44,9061079000.0,126518751972.0
000300.XSHG,2018-04-18,3785.31,3766.28,3789.66,3708.11,10667670600.0,143077676004.0
000300.XSHG,2018-04-19,3774.78,3811.84,3824.03,3767.8,9905406000.0,127520121562.0
000300.XSHG,2018-04-20,3801.21,3760.85,3815.44,3750.1,9928292500.0,123550664541.0
000300.XSHG,2018-04-23,3754.69,3766.33,3787.4,3735.18,9035629100.0,111763031500.0
000300.XSHG,2018-04-24,3769.88,3843.49,3854.43,3769.88,11421952500.0,145700512791.0
000300.XSHG,2018-04-25,3824.59,3828.7,3838.69,3817.03,7817261200.0,105750449452.0
000300.XSHG,2018-04-26,3823.39,3755.49,3828.71,3744.89,8715064100.0,125772304515.0
000300.XSHG,2018-04-27,3771.04,3756.88,3776.98,3714.64,8953172600.0,142113627600.0
000300.XSHG,2018-05-02,3769.93,3763.65,3787.3,3744.55,8330103500.0,120083483290.0
000300.XSHG,2018-05-03,3756.17,3793.0,3797.53,3732.37,9396111800.0,122740168864.0
000300.XSHG,2018-05-04,3784.32,3774.6,3801.52,3770.94,7155428800.0,98315254609.0
000300.XSHG,2018-05-07,3782.54,3834.19,3834.59,3776.03,8728619500.0,126354800811.0
000300.XSHG,2018-05-08,3834.61,3878.68,3892.07,3833.73,9421515700.0,135445862529.0
000300.XSHG,2018-05-09,3876.13,3871.62,3878.94,3855.74,6671296600.0,92322896271.0
000300.XSHG,2018-05-10,3882.84,3893.06,3894.49,3867.31,7066780900.0,103255140585.0
000300.XSHG,2018-05-11,3902.15,3872.84,3903.34,3871.95,7335660400.0,107715457040.0
000300.XSHG,2018-05-14,3886.87,3909.29,3919.3,3886.87,8197599900.0,122520047995.0
000300.XSHG,2018-05-15,3920.14,3924.1,3924.34,3892.92,7604955500.0,106091905845.0
000300.XSHG,2018-05-16,3909.82,3892.84,3923.34,3889.19,7191364600.0,106533930265.0
000300.XSHG,2018-05-17,3895.49,3864.05,3899.51,3858.85,5903012300.0,87104164680.0
000300.XSHG,2018-05-18,3860.16,3903.06,3903.06,3841.9,7261395600.0,96823851809.0
000300.XSHG,2018-05-21,3925.54,3921.24,3937.46,3913.6,9264173700.0,120528726019.0
000300.XSHG,2018-05-22,3918.82,3906.21,3918.82,3881.17,7536877800.0,102883344897.0
000300.XSHG,2018-05-23,3898.27,3854.58,3898.27,3854.58,8372231900.0,110684503206.0
000300.XSHG,2018-05-24,3853.29,3827.22,3859.1,3823.92,6834502200.0,93408219637.0
000300.XSHG,2018-05-25,3823.74,3816.5,3841.12,3804.13,7083638600.0,95667543827.0
000300.XSHG,2018-05-28,3816.26,3833.26,3846.55,3799.32,7152113200.0,100001639047.0
000300.XSHG,2018-05-29,3824.19,3804.01,3841.78,3800.67,8155266200.0,117288580582.0
000300.XSHG,2018-05-30,3755.18,3723.37,3767.89,3722.07,8791328500.0,115858975810.0
000300.XSHG,2018-05-31,3749.3,3802.38,3804.79,3742.53,9266689400.0,130545422180.0
000300.XSHG,2018-06-01,3789.67,3770.59,3802.54,3753.84,7782181300.0,105934865863.0
000300.XSHG,2018-06-04,3785.19,3807.58,3813.41,3776.62,7662434100.0,115146468450.0
000300.XSHG,2018-06-05,3811.29,3845.32,3845.56,3800.93,7868736000.0,121261467224.0
000300.XSHG,2018-06-06,3839.68,3837.35,3848.33,3830.9,7311723700.0,107142041766.0
000300.XSHG,2018-06-07,3846.94,3831.01,3859.85,3827.69,8025614700.0,112365710702.0
000300.XSHG,2018-06-08,3819.45,3779.62,3819.46,3759.27,8333733500.0,107818798321.0
000300.XSHG,2018-06-11,3770.21,3779.98,3792.55,3756.51,6870983400.0,105597924649.0
000300.XSHG,2018-06-12,3783.19,3825.95,3830.47,3765.26,7320624400.0,116217139615.0
000300.XSHG,2018-06-13,3814.62,3788.34,3817.45,3782.07,6637797000.0,97185498920.0
000300.XSHG,2018-06-14,3774.64,3773.37,3808.16,3759.25,6847132200.0,99234014984.0
000300.XSHG,2018-06-15,3763.04,3753.43,3780.34,3737.43,8548889300.0,109534900847.0
000300.XSHG,2018-06-19,3702.67,3621.12,3712.82,3583.02,16070654200.0,193848797293.0
000300.XSHG,2018-06-20,3602.55,3635.44,3649.34,3578.17,8671809800.0,112804812786.0
000300.XSHG,2018-06-21,3633.56,3592.97,3673.56,3589.49,9390855200.0,115584149028.0
000300.XSHG,2018-06-22,3567.89,3608.9,3609.08,3542.46,7511786400.0,89687282053.0
000300.XSHG,2018-06-25,3625.8,3560.48,3631.03,3559.03,7987707800.0,106690345317.0
000300.XSHG,2018-06-26,3521.59,3531.11,3541.78,3478.21,8498526900.0,108132167346.0
000300.XSHG,2018-06-27,3525.13,3459.26,3537.66,3441.78,8149181700.0,107628896582.0
000300.XSHG,2018-06-28,3434.94,3423.53,3477.06,3416.95,7591805100.0,98570527345.0
000300.XSHG,2018-06-29,3431.96,3510.98,3512.38,3425.22,7725703100.0,97616367299.0
000300.XSHG,2018-07-02,3504.46,3407.96,3506.9,3383.5,8435144900.0,107601540659.0
000300.XSHG,2018-07-03,3410.48,3409.28,3422.04,3319.29,9527869300.0,129898019347.0
000300.XSHG,2018-07-04,3398.78,3363.75,3418.33,3359.09,7515799700.0,93648559089.0
000300.XSHG,2018-07-05,3365.55,3342.44,3398.49,3330.71,8158798100.0,97544619590.0
000300.XSHG,2018-07-06,3347.06,3365.12,3396.25,3295.73,8609757900.0,109481942501.0
000300.XSHG,2018-07-09,3378.91,3459.18,3459.32,3378.91,7660154500.0,100918863679.0
000300.XSHG,2018-07-10,3464.91,3467.52,3474.14,3437.27,6954882300.0,90127445728.0
000300.XSHG,2018-07-11,3398.93,3407.53,3427.57,3375.14,7204095000.0,89661507129.0
000300.XSHG,2018-07-12,3403.33,3481.06,3499.1,3403.33,9635356400.0,117805514793.0
